,City,Cloudiness (%),Country,Date,Humidity,Lat,Lng,Max Temp (°F),Wind Speed (mph)
80,mercedes,39.0,UY,09-13-2019,49.0,-33.25,-58.03,64.0,4.0
81,grand river south east,,,,,,,,
82,lasa,40.0,CY,09-13-2019,78.0,34.92,32.53,77.0,4.7
83,pisco,20.0,PE,09-13-2019,30.0,-13.71,-76.2,71.6,10.29
84,ushuaia,75.0,AR,09-13-2019,48.0,-54.81,-68.31,44.6,3.15
85,calvia,0.0,ES,09-13-2019,60.0,39.57,2.51,75.2,6.93
86,nouadhibou,0.0,MR,09-13-2019,78.0,20.93,-17.03,71.6,16.11
87,taoudenni,99.0,ML,09-13-2019,15.0,22.68,-3.98,104.47,9.26
88,vaini,53.0,IN,09-13-2019,94.0,15.34,74.49,74.59,0.43
89,ouegoa,0.0,NC,09-13-2019,72.0,-20.34,164.44,69.01,21.18
90,silleda,20.0,ES,09-13-2019,82.0,42.7,-8.25,79.0,6.93
91,pontianak,100.0,ID,09-13-2019,80.0,-0.02,109.34,78.55,16.4
92,torrington,1.0,US,09-13-2019,15.0,42.06,-104.18,80.6,8.05
93,hithadhoo,64.0,MV,09-13-2019,72.0,-0.6,73.08,83.77,8.88
94,turukhansk,100.0,RU,09-13-2019,84.0,65.8,87.96,31.75,7.87
95,busselton,95.0,AU,09-13-2019,91.0,-33.64,115.35,63.0,15.19
96,los llanos de aridane,0.0,ES,09-13-2019,73.0,28.66,-17.92,73.4,10.29
97,havre-saint-pierre,1.0,CA,09-13-2019,66.0,50.23,-63.6,51.8,16.11
98,rio gallegos,20.0,AR,09-13-2019,34.0,-51.62,-69.22,50.0,8.05
99,tuatapere,0.0,NZ,09-13-2019,89.0,-46.13,167.69,39.99,1.99
100,bowmore,75.0,US,09-13-2019,69.0,34.94,-79.3,84.2,6.93
101,ruhengeri,,,,,,,,
102,hofn,23.0,IS,09-13-2019,76.0,64.25,-15.21,27.97,5.93
